sample,region,bp,percent_variance
Rhsu e,ITS1,14,0.0125
Rhsu e,ITS1,20,0.00624999999999998
Rhsu e,ITS1,21,0.0119760479041916
Rhsu e,ITS1,34,0.00680272108843538
Rhsu e,ITS1,50,0.00649350649350644
Rhsu e,ITS1,77,0.00636942675159236
Rhsu e,ITS1,124,0.00735294117647056
Rhsu e,ITS1,133,0.00684931506849318
Rhsu e,ITS1,134,0.0067567567567568
Rhsu e,ITS1,178,0.00534759358288772
Rhsu e,ITS1,189,0.00495049504950495
Rhsu d,ITS1,10,0.017910447761194
Rhsu d,ITS1,12,0.00252525252525249
Rhsu d,ITS1,17,0.00249376558603487
Rhsu d,ITS1,20,0.00255102040816324
Rhsu d,ITS1,26,0.00266666666666671
Rhsu d,ITS1,27,0.00923076923076926
Rhsu d,ITS1,28,0.00292397660818711
Rhsu d,ITS1,44,0.00263157894736843
Rhsu d,ITS1,47,0.00256410256410255
Rhsu d,ITS1,53,0.0201511335012594
Rhsu d,ITS1,71,0.00234741784037562
Rhsu d,ITS1,75,0.0046403712296984
Rhsu d,ITS1,77,0.00234741784037562
Rhsu d,ITS1,85,0.00238095238095237
Rhsu d,ITS1,93,0.00273224043715847
Rhsu d,ITS1,108,0.0024691358024691
Rhsu d,ITS1,113,0.00245700245700242
Rhsu d,ITS1,116,0.00257069408740362
Rhsu d,ITS1,126,0.00246305418719217
Rhsu d,ITS1,128,0.00249376558603487
Rhsu d,ITS1,129,0.00245700245700242
Rhsu d,ITS1,130,0.00242718446601942
Rhsu d,ITS1,132,0.00268096514745308
Rhsu d,ITS1,145,0.00233100233100236
Rhsu d,ITS1,155,0.00212314225053079
Rhsu d,ITS1,158,0.0169851380042463
Rhsu d,ITS1,163,0.00214132762312635
Rhsu d,ITS1,167,0.0021186440677966
Rhsu d,ITS1,172,0.0021141649048626
Rhsu d,ITS1,178,0.00205761316872433
Rhsu d,ITS1,186,0.00187617260787998
Rhsu c,ITS1,4,0.0025974025974026
Rhsu c,ITS1,8,0.00259067357512954
Rhsu c,ITS1,10,0.0237388724035609
Rhsu c,ITS1,13,0.00276243093922657
Rhsu c,ITS1,21,0.00802139037433158
Rhsu c,ITS1,26,0.0027932960893855
Rhsu c,ITS1,50,0.00276243093922657
Rhsu c,ITS1,75,0.00268096514745308
Rhsu c,ITS1,79,0.00270270270270268
Rhsu c,ITS1,80,0.0028169014084507
Rhsu c,ITS1,93,0.00322580645161286
Rhsu c,ITS1,112,0.00306748466257667
Rhsu c,ITS1,145,0.00290697674418605
Rhsu c,ITS1,148,0.00289017341040465
Rhsu c,ITS1,155,0.00284090909090906
Rhsu c,ITS1,163,0.00542005420054203
Rhsu c,ITS1,173,0.00265957446808507
Rhsu c,ITS1,177,0.00256410256410255
Rhsu b,ITS1,10,0.0188679245283019
Rhsu b,ITS1,16,0.00819672131147542
Rhsu b,ITS1,28,0.00869565217391299
Rhsu b,ITS1,54,0.00840336134453779
Rhsu b,ITS1,60,0.00884955752212391
Rhsu b,ITS1,125,0.00793650793650791
Rhsu a,ITS1,9,0.00381679389312972
Rhsu a,ITS1,10,0.00444444444444447
Rhsu a,ITS1,13,0.00403225806451613
Rhsu a,ITS1,27,0.00450450450450446
Rhsu a,ITS1,32,0.00429184549356221
Rhsu a,ITS1,36,0.00393700787401574
Rhsu a,ITS1,42,0.00401606425702816
Rhsu a,ITS1,67,0.00347222222222221
Rhsu a,ITS1,80,0.00366300366300365
Rhsu a,ITS1,83,0.0036496350364964
Rhsu a,ITS1,84,0.0036496350364964
Rhsu a,ITS1,93,0.00413223140495866
Rhsu a,ITS1,98,0.004
Rhsu a,ITS1,109,0.00395256916996045
Rhsu a,ITS1,118,0.00395256916996045
Rhsu a,ITS1,135,0.0036496350364964
Rhsu a,ITS1,148,0.00366300366300365
Rhsu a,ITS1,156,0.00357142857142856
Rhsu a,ITS1,159,0.00363636363636366
Rhsu a,ITS1,166,0.00349650349650354
Rhpor f,ITS1,39,0.00411522633744854
Rhpor f,ITS1,49,0.00413223140495866
Rhpor f,ITS1,60,0.00406504065040647
Rhpor f,ITS1,81,0.00473933649289104
Rhpor f,ITS1,109,0.0044642857142857
Rhpor f,ITS1,110,0.0044642857142857
Rhpor f,ITS1,113,0.00469483568075113
Rhpor f,ITS1,125,0.00473933649289104
Rhpor f,ITS1,143,0.00416666666666665
Rhpor f,ITS1,159,0.00381679389312972
Rhpor f,ITS1,193,0.00310559006211175
Rhpor e,ITS1,2,0.00201207243460766
Rhpor e,ITS1,14,0.00202020202020203
Rhpor e,ITS1,20,0.00206185567010309
Rhpor e,ITS1,30,0.00216450216450215
Rhpor e,ITS1,55,0.00215982721382291
Rhpor e,ITS1,74,0.00208333333333333
Rhpor e,ITS1,75,0.00210084033613445
Rhpor e,ITS1,84,0.0021929824561403
Rhpor e,ITS1,90,0.00236406619385343
Rhpor e,ITS1,102,0.00248756218905477
Rhpor e,ITS1,113,0.00240963855421683
Rhpor e,ITS1,115,0.00235294117647056
Rhpor e,ITS1,121,0.00222222222222224
Rhpor e,ITS1,147,0.002
Rhpor e,ITS1,171,0.00180505415162457
Rhpor d,ITS1,2,0.00201207243460766
Rhpor d,ITS1,14,0.00202020202020203
Rhpor d,ITS1,20,0.00206185567010309
Rhpor d,ITS1,30,0.00216450216450215
Rhpor d,ITS1,55,0.00215982721382291
Rhpor d,ITS1,74,0.00208333333333333
Rhpor d,ITS1,75,0.00210084033613445
Rhpor d,ITS1,84,0.0021929824561403
Rhpor d,ITS1,90,0.00236406619385343
Rhpor d,ITS1,102,0.00248756218905477
Rhpor d,ITS1,113,0.00240963855421683
Rhpor d,ITS1,115,0.00235294117647056
Rhpor d,ITS1,121,0.00222222222222224
Rhpor d,ITS1,147,0.002
Rhpor d,ITS1,171,0.00180505415162457
Rhpor c,ITS1,10,0.00414937759336098
Rhpor c,ITS1,21,0.00403225806451613
Rhpor c,ITS1,28,0.0431034482758621
Rhpor c,ITS1,29,0.0512820512820513
Rhpor c,ITS1,34,0.0651162790697675
Rhpor c,ITS1,50,0.00408163265306127
Rhpor c,ITS1,55,0.00411522633744854
Rhpor c,ITS1,56,0.00404858299595146
Rhpor c,ITS1,85,0.00421940928270037
Rhpor c,ITS1,97,0.0695652173913044
Rhpor c,ITS1,108,0.0604651162790698
Rhpor c,ITS1,109,0.00436681222707425
Rhpor c,ITS1,112,0.0304347826086957
Rhpor c,ITS1,115,0.00421940928270037
Rhpor c,ITS1,119,0.00411522633744854
Rhpor c,ITS1,123,0.00425531914893618
Rhpor c,ITS1,124,0.0504587155963303
Rhpor c,ITS1,128,0.042016806722689
Rhpor c,ITS1,135,0.0513833992094862
Rhpor c,ITS1,137,0.00387596899224807
Rhpor c,ITS1,145,0.00362318840579712
Rhpor c,ITS1,161,0.00623052959501558
Rhpor c,ITS1,186,0.0698254364089775
Rhpor b,ITS1,14,0.00240384615384615
Rhpor b,ITS1,24,0.00240384615384615
Rhpor b,ITS1,45,0.00236966824644547
Rhpor b,ITS1,48,0.00229357798165142
Rhpor b,ITS1,66,0.00228832951945079
Rhpor b,ITS1,79,0.00225733634311509
Rhpor b,ITS1,81,0.00267379679144386
Rhpor b,ITS1,101,0.00245700245700242
Rhpor b,ITS1,107,0.0024330900243309
Rhpor b,ITS1,108,0.0024330900243309
Rhpor b,ITS1,110,0.00236406619385343
Rhpor b,ITS1,123,0.00238095238095237
Rhpor b,ITS1,128,0.00240963855421683
Rhpor b,ITS1,136,0.00235294117647056
Rhpor b,ITS1,137,0.00237529691211402
Rhpor b,ITS1,155,0.00212314225053079
Rhpor b,ITS1,167,0.0020876826722338
Rhpor b,ITS1,177,0.00204081632653064
Rhpor b,ITS1,186,0.00183150183150182
Rhpor b,ITS1,193,0.00182481751824815
Rhpor a,ITS1,1,0.0053333333333333
Rhpor a,ITS1,10,0.00273224043715847
Rhpor a,ITS1,23,0.0027932960893855
Rhpor a,ITS1,29,0.00284090909090906
Rhpor a,ITS1,62,0.0027932960893855
Rhpor a,ITS1,63,0.00278551532033422
Rhpor a,ITS1,64,0.00283286118980175
Rhpor a,ITS1,74,0.00282485875706218
Rhpor a,ITS1,77,0.00598802395209586
Rhpor a,ITS1,78,0.00294985250737467
Rhpor a,ITS1,81,0.00689655172413794
Rhpor a,ITS1,113,0.00295857988165682
Rhpor a,ITS1,122,0.00294985250737467
Rhpor a,ITS1,131,0.00294117647058822
Rhpor a,ITS1,133,0.00289855072463763
Rhpor a,ITS1,147,0.00263852242744067
Rhpor a,ITS1,149,0.0028089887640449
Rhpor a,ITS1,160,0.00252525252525249
Rhpor a,ITS1,163,0.00259067357512954
Rhpor a,ITS1,171,0.00244498777506108
Rhpor a,ITS1,177,0.00235849056603776
Rhpor a,ITS1,192,0.00216450216450215
Rhpol d,ITS1,9,0.00115740740740744
Rhpol d,ITS1,10,0.00698324022346364
Rhpol d,ITS1,14,0.00120481927710847
Rhpol d,ITS1,16,0.00120772946859904
Rhpol d,ITS1,20,0.00117924528301883
Rhpol d,ITS1,21,0.0208333333333334
Rhpol d,ITS1,23,0.00127877237851659
Rhpol d,ITS1,26,0.00130378096479788
Rhpol d,ITS1,27,0.00904977375565608
Rhpol d,ITS1,31,0.00440528634361237
Rhpol d,ITS1,32,0.00141643059490082
Rhpol d,ITS1,47,0.00129198966408273
Rhpol d,ITS1,52,0.00129533678756477
Rhpol d,ITS1,72,0.00119047619047619
Rhpol d,ITS1,81,0.00832177531206657
Rhpol d,ITS1,83,0.00129198966408273
Rhpol d,ITS1,92,0.00132100396301194
Rhpol d,ITS1,95,0.00123609394313973
Rhpol d,ITS1,101,0.00129870129870124
Rhpol d,ITS1,108,0.00125470514429105
Rhpol d,ITS1,115,0.00119904076738608
Rhpol d,ITS1,122,0.00354191263282178
Rhpol d,ITS1,124,0.00249687890137329
Rhpol d,ITS1,130,0.00110619469026552
Rhpol d,ITS1,132,0.00122850122850127
Rhpol d,ITS1,133,0.00116144018583042
Rhpol d,ITS1,134,0.00231749710312867
Rhpol d,ITS1,136,0.00113507377979571
Rhpol d,ITS1,138,0.0011325028312571
Rhpol d,ITS1,146,0.00106269925611047
Rhpol d,ITS1,147,0.0010515247108307
Rhpol d,ITS1,149,0.0010741138560687
Rhpol d,ITS1,155,0.001
Rhpol d,ITS1,157,0.0020140986908358
Rhpol d,ITS1,158,0.0020140986908358
Rhpol d,ITS1,159,0.00204081632653064
Rhpol d,ITS1,167,0.0010152284263959
Rhpol d,ITS1,168,0.00100704934541795
Rhpol d,ITS1,173,0.00198412698412698
Rhpol d,ITS1,175,0.000986193293885607
Rhpol d,ITS1,186,0.000905797101449224
Rhpol d,ITS1,191,0.000910746812386121
Rhpol c,ITS1,27,0.0285714285714286
Rhpol c,ITS1,192,0.0147058823529411
Rhpol b,ITS1,10,0.00990099009900991
Rhpol b,ITS1,21,0.00882352941176467
Rhpol b,ITS1,27,0.00704225352112675
Rhpol b,ITS1,33,0.00338983050847452
Rhpol b,ITS1,48,0.00294985250737467
Rhpol b,ITS1,66,0.00289855072463763
Rhpol b,ITS1,67,0.00294117647058822
Rhpol b,ITS1,69,0.00293255131964809
Rhpol b,ITS1,73,0.00294985250737467
Rhpol b,ITS1,80,0.00318471337579618
